generation_number,alpha0y,xi,nicheidx1,amountniche1,amount_change1,nicheidx2,amountniche2,amount_change2,0,0.6,0,0,0,1,83,0
18,3.2,0.4,0,0,0,1,950,0,,,,,,,,
18,0,0.2,0,0,8665,1,988,8730,,,,,,,,
18,0.8,0.6,0,246,24,1,702,51,,,,,,,,
18,3.4,0.2,0,919,0,1,0,0,,,,,,,,
18,0,0.6,0,4,8330,1,962,8733,,,,,,,,
18,1.6,0.4,0,716,0,1,234,0,,,,,,,,
18,0.8,0.4,0,331,11,1,650,12,,,,,,,,
18,0,0.4,0,0,8838,1,965,8937,,,,,,,,
18,1.6,0.2,0,242,0,1,738,0,,,,,,,,
18,2.4,0.6,0,560,1,1,346,0,,,,,,,,
18,0,0.8,0,0,8645,1,948,8782,,,,,,,,
18,2.4,0.4,0,251,0,1,713,0,,,,,,,,
18,1.6,0.6,0,434,4,1,521,2,,,,,,,,
18,0.8,0.2,0,445,0,1,546,0,,,,,,,,
18,3.2,0.6,0,956,0,1,0,0,,,,,,,,
19,2.4,0.2,0,432,0,1,547,0,,,,,,,,
19,3.2,0.4,0,0,0,1,960,0,,,,,,,,
19,0,0.2,0,986,9665,1,0,8730,,,,,,,,
19,0.8,0.6,0,398,28,1,556,52,,,,,,,,
19,3.4,0.2,0,967,0,1,0,0,,,,,,,,
19,0,0.6,0,251,8603,1,689,8733,,,,,,,,
19,1.6,0.4,0,603,0,1,368,0,,,,,,,,
19,0.8,0.4,0,298,11,1,668,14,,,,,,,,
19,0,0.4,0,979,9837,1,0,8937,,,,,,,,
19,1.6,0.2,0,255,0,1,728,0,,,,,,,,
19,2.4,0.6,0,664,1,1,295,0,,,,,,,,
19,0,0.8,0,940,9645,1,0,8782,,,,,,,,
19,2.4,0.4,0,263,0,1,697,0,,,,,,,,
19,1.6,0.6,0,577,4,1,366,2,,,,,,,,
19,0.8,0.2,0,387,0,1,606,0,,,,,,,,
19,3.2,0.6,0,945,0,1,0,0,,,,,,,,
20,2.4,0.2,0,287,0,1,696,0,,,,,,,,
20,3.2,0.4,0,0,0,1,965,0,,,,,,,,
20,0,0.2,0,0,9665,1,985,9730,,,,,,,,
20,0.8,0.6,0,590,33,1,363,54,,,,,,,,
20,3.4,0.2,0,947,0,1,0,0,,,,,,,,
20,0,0.6,0,281,8611,1,675,8993,,,,,,,,
20,0.8,0.4,0,313,15,1,642,17,,,,,,,,
20,1.6,0.4,0,371,0,1,591,0,,,,,,,,
20,1.6,0.2,0,358,0,1,626,0,,,,,,,,
20,0,0.4,0,0,9837,1,969,9937,,,,,,,,
20,2.4,0.6,0,676,1,1,281,0,,,,,,,,
20,0,0.8,0,0,9645,1,945,9782,,,,,,,,
20,2.4,0.4,0,321,0,1,653,0,,,,,,,,
20,1.6,0.6,0,662,4,1,297,2,,,,,,,,
20,0.8,0.2,0,386,0,1,598,0,,,,,,,,
20,3.2,0.6,0,940,0,1,0,0,,,,,,,,
21,2.4,0.2,0,209,0,1,773,0,,,,,,,,
21,3.2,0.4,0,0,0,1,963,0,,,,,,,,
21,0,0.2,0,988,10665,1,0,9730,,,,,,,,
21,0.8,0.6,0,719,33,1,233,57,,,,,,,,
21,3.4,0.2,0,936,0,1,0,0,,,,,,,,
21,0,0.6,0,219,8619,1,750,9246,,,,,,,,
21,0.8,0.4,0,423,15,1,550,17,,,,,,,,
21,1.6,0.4,0,235,0,1,736,0,,,,,,,,
21,1.6,0.2,0,517,0,1,457,0,,,,,,,,
21,0,0.4,0,970,10837,1,0,9937,,,,,,,,
21,2.4,0.6,0,590,1,1,369,0,,,,,,,,
21,0,0.8,0,960,10644,1,0,9782,,,,,,,,
21,2.4,0.4,0,384,0,1,578,0,,,,,,,,
21,1.6,0.6,0,667,4,1,272,5,,,,,,,,
21,0.8,0.2,0,477,0,1,511,1,,,,,,,,
21,3.2,0.6,0,927,0,1,0,0,,,,,,,,
22,2.4,0.2,0,234,0,1,716,0,,,,,,,,
22,3.2,0.4,0,0,0,1,952,0,,,,,,,,
22,0,0.2,0,0,10665,1,994,10730,,,,,,,,
22,0.8,0.6,0,771,34,1,175,62,,,,,,,,
22,3.4,0.2,0,936,0,1,0,0,,,,,,,,
22,0,0.6,0,340,8635,1,608,9265,,,,,,,,
22,1.6,0.4,0,195,0,1,773,0,,,,,,,,
22,0.8,0.4,0,528,15,1,432,18,,,,,,,,
22,1.6,0.2,0,696,0,1,289,0,,,,,,,,
22,0,0.4,0,0,10837,1,968,10937,,,,,,,,
22,2.4,0.6,0,429,1,1,518,0,,,,,,,,
22,2.4,0.4,0,411,0,1,540,0,,,,,,,,
22,0,0.8,0,0,10644,1,939,10782,,,,,,,,
22,1.6,0.6,0,618,4,1,327,5,,,,,,,,
22,0.8,0.2,0,616,0,1,350,1,,,,,,,,
22,3.2,0.6,0,938,0,1,0,0,,,,,,,,
23,2.4,0.2,0,311,0,1,667,0,,,,,,,,
23,3.2,0.4,0,0,0,1,927,0,,,,,,,,
23,0,0.2,0,980,11665,1,0,10730,,,,,,,,
23,0.8,0.6,0,751,35,1,194,62,,,,,,,,
23,3.4,0.2,0,941,0,1,0,0,,,,,,,,
23,0,0.6,0,129,8643,1,815,9640,,,,,,,,
23,0.8,0.4,0,594,16,1,365,20,,,,,,,,
23,1.6,0.4,0,262,0,1,702,0,,,,,,,,
23,1.6,0.2,0,753,0,1,228,0,,,,,,,,
23,0,0.4,0,973,11837,1,0,10937,,,,,,,,
23,2.4,0.6,0,337,1,1,600,0,,,,,,,,
23,2.4,0.4,0,466,0,1,488,0,,,,,,,,
23,0,0.8,0,940,11644,1,0,10782,,,,,,,,
23,1.6,0.6,0,559,5,1,394,5,,,,,,,,
